user_id,tenant_id,title_name,first_name,last_name,display_name,line_user_id,email,phone_number,citizen_type,role_id,is_active,last_login_at,created_at,updated_at
00000001-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,นางสาว,รัตนา,สุขสมาน,รัตนา สุขสมาน,Uofficer0001,officer0001@bma.go.th,24744854,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000003,TRUE,2026-06-21 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000001,นางสาว,อนุชา,ยืนยง,อนุชา ยืนยง,Uofficer0002,officer0002@bma.go.th,21533224,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000001,TRUE,2026-06-25 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000001,นาย,พงศ์ธร,เจริญสุข,พงศ์ธร เจริญสุข,Uofficer0003,officer0003@bma.go.th,24335942,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000003,TRUE,2026-06-03 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000001,นางสาว,พรทิพย์,ยืนยง,พรทิพย์ ยืนยง,Uofficer0004,officer0004@bma.go.th,28536477,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000003,TRUE,2026-06-07 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000001,นาง,วิโรจน์,วงศ์สมบูรณ์,วิโรจน์ วงศ์สมบูรณ์,Uofficer0005,officer0005@bma.go.th,26708456,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000002,TRUE,2026-06-17 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000001,นาย,พงศ์ธร,กล้าหาญ,พงศ์ธร กล้าหาญ,Uofficer0006,officer0006@bma.go.th,27374122,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000001,TRUE,2026-06-22 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000001,นาง,ชุติมา,ดำรง,ชุติมา ดำรง,Uofficer0007,officer0007@bma.go.th,21728977,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000003,TRUE,2026-06-02 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000001,นาง,จิตรา,ทองดี,จิตรา ทองดี,Uofficer0008,officer0008@bma.go.th,25918715,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000003,TRUE,2026-05-30 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000009,00000000-0000-0000-0000-000000000001,นางสาว,วิไล,เพชรรัตน์,วิไล เพชรรัตน์,Uofficer0009,officer0009@bma.go.th,22166941,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000003,TRUE,2026-06-24 10:00,2024-01-01 08:00,2024-01-01 08:00
00000001-0000-0000-0000-000000000010,00000000-0000-0000-0000-000000000001,นางสาว,สิริพร,พิทักษ์,สิริพร พิทักษ์,Uofficer0010,officer0010@bma.go.th,22694522,เจ้าหน้าที่,aaaa0001-0000-0000-0000-000000000001,TRUE,2026-06-13 10:00,2024-01-01 08:00,2024-01-01 08:00
