"user_id","tenant_id","title_name","first_name","last_name","display_name","email","phone_number","citizen_type","role_id","is_active","last_login_at","created_at","updated_at","line_user_id"
"00000001-0000-0000-0000-000000000001","00000000-0000-0000-0000-000000000001","นาย","สมศักดิ์","วงศ์สมบูรณ์","สมศักดิ์ วงศ์สมบูรณ์","somsak@bma.go.th","0812345601","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000001",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Uadmin001"
"00000001-0000-0000-0000-000000000002","00000000-0000-0000-0000-000000000001","นาง","พิมพ์ใจ","สุขสมาน","พิมพ์ใจ สุขสมาน","pimjai@bma.go.th","0812345602","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000001",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Uadmin002"
"00000001-0000-0000-0000-000000000003","00000000-0000-0000-0000-000000000001","นาย","วิชัย","ประดิษฐ์ทอง","วิชัย ประดิษฐ์ทอง","wichai@bma.go.th","0812345603","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper001"
"00000001-0000-0000-0000-000000000004","00000000-0000-0000-0000-000000000001","นาง","สุภาพร","มีสุข","สุภาพร มีสุข","supaporn@bma.go.th","0812345604","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper002"
"00000001-0000-0000-0000-000000000005","00000000-0000-0000-0000-000000000001","นาย","ธนกร","รุ่งเรือง","ธนกร รุ่งเรือง","thanakorn@bma.go.th","0812345605","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper003"
"00000001-0000-0000-0000-000000000006","00000000-0000-0000-0000-000000000001","นาง","นิตยา","ใจดี","นิตยา ใจดี","nittaya@bma.go.th","0812345606","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper004"
"00000001-0000-0000-0000-000000000007","00000000-0000-0000-0000-000000000001","นาย","ประสิทธิ์","แก้วใส","ประสิทธิ์ แก้วใส","prasit@bma.go.th","0812345607","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper005"
"00000001-0000-0000-0000-000000000008","00000000-0000-0000-0000-000000000001","นาง","จิตรา","พงษ์ดี","จิตรา พงษ์ดี","jittra@bma.go.th","0812345608","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper006"
"00000001-0000-0000-0000-000000000009","00000000-0000-0000-0000-000000000001","นาย","กิตติศักดิ์","ทองดี","กิตติศักดิ์ ทองดี","kittisak@bma.go.th","0812345609","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper007"
"00000001-0000-0000-0000-000000000010","00000000-0000-0000-0000-000000000001","นาง","อัมพร","สวัสดี","อัมพร สวัสดี","amporn@bma.go.th","0812345610","เจ้าหน้าที่","aaaa0001-0000-0000-0000-000000000002",True,NULL,"2026-06-04 13:59:46.040261","2026-06-04 13:59:46.040261","Usuper008"
